Title,Price,StarsNumber
"Complete Guide to Test Automation: Techniques, Practices, and Patterns for Building and Maintaining Effective Software Projects",24,4.2
"Design Patterns for High-Quality Automated Tests: High-Quality Test Attributes and Best Practices",0,4.5
"Python for DevOps: Learn Ruthlessly Effective Automation",36,4.5
"Robotic Process Automation with Automation Anywhere: Techniques to fuel business productivity and intelligent automation using RPA",0,4.8
"Stop Coding: Learn to test automate without coding and get that automation testing job",0,4.1
"Software Test Automation: Effective Use of Test Execution Tools",74,3.6
"Workflow Automation with Microsoft Power Automate: Achieve digital transformation through business automation with minimal coding",34,4.3
"Robotic Process Automation Projects: Build real-world RPA solutions using UiPath and Automation Anywhere",39,4.5
"Automate the Boring Stuff with Python, 2nd Edition: Practical Programming for Total Beginners",there is no price to this item,4.7
"Systems Performance (Addison-Wesley Professional Computing Series)",28,4.8
"Learning Robotic Process Automation: Create Software robots and automate business processes with the leading RPA tool â€“ UiPath",49,3.8
"Just Enough Software Test Automation (Just Enough (Yourdon Press))",49,3.1
"Experiences of Test Automation: Case Studies of Software Test Automation",54,3.5
"Mastering Python Networking: Your one-stop solution to using Python for network automation, programmability, and DevOps, 3rd Edition",49,4.7
"Network Automation Cookbook: Proven and actionable recipes to automate and manage network devices using Ansible",39,4.9
"Customizing Chef: Getting the Most Out of Your Infrastructure Automation",17,4.8
"Programming and Automating Cisco Networks: A guide to network programmability and automation in the data center, campus, and WAN (Networking Technology)",54,4.0
"Design Patterns for High-Quality Automated Tests: Clean Code for Bulletproof Tests",9,4.5
"Lessons Learned in Software Testing: A Context-Driven Approach",36,4.6
"Network Programmability and Automation: Skills for the Next-Generation Network Engineer",there is no price to this item,4.6
"Continuous Delivery: Reliable Software Releases through Build, Test, and Deployment Automation (Addison-Wesley Signature Series (Fowler))",there is no price to this item,4.6
"Site Reliability Engineering: How Google Runs Production Systems",33,5.0
"Accelerating Software Quality: Machine Learning and Artificial Intelligence in the Age of DevOps",9,4.0
"Robotic Process Automation: Guide To Building Software Robots, Automate Repetitive Tasks & Become An RPA Consultant",0,4.3
"Python Automation Cookbook: 75 Python automation ideas for web scraping, data wrangling, and processing Excel, reports, emails, and more, 2nd Edition",39,4.6
"Learn Automation Logic Programming Software & Virtual PLC Controller on PC Basic & Advanced",there is no price to this item,4.8
"Learning RSLogix 5000 Programming: Build robust PLC solutions with ControlLogix, CompactLogix, and Studio 5000/RSLogix 5000, 2nd Edition",39,2.6
"VBA Automation for Excel 2019 Cookbook: Solutions to automate routine tasks and increase productivity with Excel and other MS Office applications",39,4.5
"InControl Home Automation Controller",4,4.5
"Adobe Acrobat DC Classroom in a Book",47,4.6
"Effective Computation in Physics: Field Guide to Research with Python",46,4.5
"Windows Server 2019 Automation with PowerShell Cookbook: Powerful ways to automate and manage Windows administrative tasks, 3rd Edition",59,4.5
"Python for Excel: A Modern Environment for Automation and Data Analysis",50,4.1
"Practical Salesforce Development Without Code: Building Declarative Solutions on the Salesforce Platform",31,3.9
"PLC Programming Using RSLogix 5000: Understanding Ladder Logic and the Studio 5000 Platform",17,4.3
"Windows 7 and Vista Guide to Scripting, Automation, and Command Line Tools",49,4.6
"Samsung SmartThings Smart Home Hub 2nd Gen.",there is no price to this item,3.8
"Artificial Intelligence and Machine Learning for Business: A No-Nonsense Guide to Data Driven Technologies",0,4.7
"Learn Windows PowerShell in a Month of Lunches",27,3.0
"Robotic Process Automation with Blue Prism Quick Start Guide: Create software robots and automate business processes",14,4.6
"Agile Testing Essentials LiveLessons",there is no price to this item,3.5
"Advanced PLC Hardware & Programming: Hardware and Software Basics, Advanced Techniques & Allen-Bradley and Siemens Platforms",42,4.8
"The Definitive Guide To Infusionsoft",there is no price to this item,4.1
"GoControl CECOMINOD016164 HUSBZB-1 USB Hub",49,there is no stars to this specific item
"Bug Bounty Automation With Python: The secrets of bug hunting",17,there is no stars to this specific item
"Selenium Automation Tester Job Interview Questions & Answers-2020: Winning The Selenium Automation Testing Interview",0,there is no stars to this specific item
"Getting Started with NSX-T: Logical Routing and Switching: The Basic Principles of Building Software-Defined Network Architectures with VMware NSX-T",10,there is no stars to this specific item
"Learn Microsoft PowerApps: Build customized business applications without writing any code",39,there is no stars to this specific item
"Arduino Programming in 24 Hours, Sams Teach Yourself",10,4.4
"Practical Security Automation and Testing: Tools and techniques for automated security scanning and testing in DevSecOps",39,4.4
"SQL Server Data Automation Through Frameworks: Building Metadata-Driven Frameworks with T-SQL, SSIS, and Azure Data Factory",20,2.8
"Salt Essentials: Getting Started with Automation at Scale",18,4.6
"Software Quality and Java Automation Engineer Survival Guide: Basic Concepts, Self Review, Interview Preparation (500+ Questions & Answers)",9,4.4
"Jazler Radiostar 2 Radio Automation Software",there is no price to this item,1.0
"Logic Pro X For Dummies, 2nd Edition (For Dummies (Computer/Tech))",29,4.4
"PLC Programming from Beginner to Paid Professional: Learn RSLogix Software & Hardware with Demo Videos",9,4.5
"Test Automation using Selenium Webdriver 3.0 with C#",49,4.5
"The Self-Taught Programmer: The Definitive Guide to Programming Professionally",20,4.4
"Test Automation Engineer: Guide to the ISTQB Advanced Level Certification",43,5.0
"MetaAutomation: Quality Automation for Faster and More Trustworthy Software Development",15,4.3
"PLC Programming Software Automation, Logic Simulation, w Examples, and Training Bonus USB",there is no price to this item,4.5
"Skills for Success with Microsoft Excel 2016 Comprehensive (Skills for Success for Office 2016 Series)",85,4.6
"Software Automation Testing Secrets Revealed Part 2 Selenium Webdriver: Mastering Web Automated Testing -Use of Selenium with Practical Answers to Testing Interview Questions",34,3.6
"Java 8 and Beyond for SDET: Learn Java 8 Lambda, Stream, Functional Style Programming & How To Apply Them In Test Automation to be a rock solid SDET",0,4.1
"Learn Automation Testing and Test Driven Development by GoLearningBus",there is no price to this item,4.5
"Securing DevOps: Security in the Cloud",39,5.0
"Test Automation using Selenium WebDriver with Java: Step by Step Guide",42,4.5
"Learning RSLogix 5000 Programming: Building PLC solutions with Rockwell Automation and RSLogix 5000",39,4.5
"Making Things Talk: Using Sensors, Networks, and Arduino to See, Hear, and Feel Your World",23,4.3
"Python Automation Cookbook: Explore the world of automation using Python recipes that will enhance your skills",34,4.4
"Philips Hue Bluetooth Smart Lightstrip Plus 2m/6ft Base Kit with Plug, (Voice Compatible with Amazon Alexa, Apple Homekit and Google Home)",there is no price to this item,4.5
"Microsoft Power Apps Cookbook: Become a pro Power Apps maker by applying practical use cases to solve ever-evolving business challenges",44,5.0
"Automation Software quality assurance All-Inclusive Self-Assessment - More than 650 Success Criteria, Instant Visual Insights, Comprehensive Spreadsheet Dashboard, Auto-Prioritized for Quick Results",there is no price to this item,3.6
"Automated Trading with R: Quantitative Research and Platform Development",45,4.6
"Fundamentals of Business Process Management",44,4.3
"DevOps for Digital Leaders: Reignite Business with a Modern DevOps-Enabled Software Factory",0,4.6
"Competing in the Age of AI: Strategy and Leadership When Algorithms and Networks Run the World",24,5.0
"Learn Azure in a Month of Lunches, Second Edition",49,3.6
